Gene,LogFC,Adjusted_PValue,Regulation
DDX60L,1.2771807,2.675666164789703e-11,Upregulated
CD52,-1.8710357,3.024905270929449e-11,Downregulated
TBC1D10C,-1.2484272,3.864785990879216e-11,Downregulated
FAM43A,-2.7080038,5.278045130038328e-11,Downregulated
SPOCK2,-1.0843133,5.628618148078906e-11,Downregulated
LTA,2.1714149,6.491054978539234e-11,Upregulated
BCL9L,-2.2811313,7.927807296182528e-11,Downregulated
PPP1R15A,1.0030066,8.828379039986593e-11,Upregulated
CCR7,1.6323948,1.6664702752866282e-10,Upregulated
SELL,1.4023398,1.6664702752866282e-10,Upregulated
PDE4B,1.4768106,3.9640639579622286e-10,Upregulated
DIP2A,-1.4362377,4.0338610320007666e-10,Downregulated
AGPAT4,-1.7283217,5.022049746473633e-10,Downregulated
CD8A,-1.4073203,6.816157217926261e-10,Downregulated
MHENCR,-2.690102,8.024405259048416e-10,Downregulated
PLEKHA2,-1.0606343,1.2752414992918038e-09,Downregulated
ABCB1,-2.0012248,1.907019885208514e-09,Downregulated
IL1RN,1.6675538,2.1715237155941825e-09,Upregulated
RBL2,-1.4658331,2.987455115110088e-09,Downregulated
DPEP2,-3.1828048,3.971556521627422e-09,Downregulated
PDE3B,-1.6647221,9.156650349560149e-09,Downregulated
RDX,1.040557,1.3146078763492247e-08,Upregulated
ACTA2,2.2186375,1.6988251994572812e-08,Upregulated
XCL1,2.2596853,2.1801648929602694e-08,Upregulated
ABTB1,-1.7913641,7.22019090792915e-08,Downregulated
HSPA1A,1.3023902,2.5758566710575203e-07,Upregulated
MLLT3,-1.157224,2.7504897560766107e-07,Downregulated
TSC22D3,-1.3471519,3.0145205775458474e-07,Downregulated
PTGDS,2.5938265,3.430874374577708e-07,Upregulated
PCID2,-1.3031999,4.2265281578436573e-07,Downregulated
PREX1,-1.0257033,7.811928259628635e-07,Downregulated
IRF4,1.9277686,8.690003350904909e-07,Upregulated
NXPH4,-1.8596,1.1100628723143377e-06,Downregulated
CKAP2,-1.8160126,1.1781462066493546e-06,Downregulated
CDKN2D,-1.2125138,1.3317757069330638e-06,Downregulated
GLCCI1,-1.4556241,1.383446711768617e-06,Downregulated
ABLIM1,-1.6372691,1.4259492256875838e-06,Downregulated
PTGDR,-1.9983699,1.7270302641798023e-06,Downregulated
F2R,-1.4480541,2.464924387937606e-06,Downregulated
CD83,1.2307731,2.761856720089966e-06,Upregulated
CDKN1B,-1.1800187,3.1217128329471396e-06,Downregulated
HLA-DPB1,-1.1857277,3.153877494782765e-06,Downregulated
RHOBTB3,-1.7353113,5.714613363744796e-06,Downregulated
CBR4,-1.9697464,6.019687485472175e-06,Downregulated
LAG3,3.4667437,7.890135504021084e-06,Upregulated
CMIP,-1.2770444,1.0906309473440544e-05,Downregulated
BCL2L11,1.1485617,1.7807911473483282e-05,Upregulated
FAM118A,-1.4834893,1.8363540776531672e-05,Downregulated
S1PR1,-2.4780383,2.1676719476345746e-05,Downregulated
ST6GALNAC6,-1.258374,2.9394934745078524e-05,Downregulated
PILRB,-1.1990017,3.051217324720757e-05,Downregulated
DUSP2,-1.4078828,3.7929671632501576e-05,Downregulated
CARD19,-1.3283592,3.8146610787676564e-05,Downregulated
HIST1H1C,-1.3934816,3.9616714726879285e-05,Downregulated
AC008105.3,-1.2130907,5.840319559375899e-05,Downregulated
SIPA1,-1.1403002,6.723709395095369e-05,Downregulated
NMT2,-1.7667063,8.375156230040141e-05,Downregulated
CCL3L1,1.0204507,8.977048884815353e-05,Upregulated
TCF7,-1.2834376,9.650691478437977e-05,Downregulated
TLE1,-1.9443161,0.00010854902692395457,Downregulated
CMSS1,1.4756804,0.00011900506304142405,Upregulated
CCNH,-1.1481506,0.00012177773329435987,Downregulated
RAB37,-3.5917826,0.00012557640712981214,Downregulated
LINC00861,-2.0277264,0.0001270135008500321,Downregulated
WBP4,1.0182964,0.000134935764289061,Upregulated
KCNK6,1.6680075,0.00015003563728939543,Upregulated
SNHG14,-1.3415409,0.0002093633785204591,Downregulated
ABHD15,-1.877759,0.00027550735097884986,Downregulated
HIST1H1E,-1.0583259,0.00028447750635753245,Downregulated
RALGDS,-1.0663542,0.00035480595182975247,Downregulated
ZFP36,-1.6128709,0.0004006195311941991,Downregulated
CD300A,-1.5843357,0.0004061960242387457,Downregulated
TBCD,-1.1237243,0.00045022576257728285,Downregulated
ADAM28,-2.7956643,0.00045022576257728285,Downregulated
AC245407.2,-2.1335866,0.00047874865386409034,Downregulated
S1PR5,-1.4852256,0.0005650745909773018,Downregulated
ST8SIA6,1.2910999,0.0005939879028543354,Upregulated
ITM2C,-1.9012661,0.0006847521231506174,Downregulated
DBP,-2.6269774,0.0008072173140465471,Downregulated
BNIP3L,-1.0201936,0.0008269666270771019,Downregulated
COLGALT2,-2.479387,0.0008450993674593321,Downregulated
RASA3,-1.1547115,0.000861727980252732,Downregulated
SLC25A45,-1.4343392,0.0009296187899813945,Downregulated
CTDSP2,-1.5214071,0.001321942640611505,Downregulated
FCMR,-1.6115291,0.0013491728219606127,Downregulated
DAAM1,-1.0293506,0.0014546325594822303,Downregulated
CCDC18-AS1,-1.0310663,0.00203828866894804,Downregulated
LRMP,-1.3487687,0.0029384718007201245,Downregulated
KLF3,-1.1194187,0.0030784272116674274,Downregulated
DLGAP1-AS1,-1.2362282,0.0032323157275812235,Downregulated
PDE7A,-1.1274316,0.0037223171012072476,Downregulated
TTC38,-1.6368313,0.0037223171012072476,Downregulated
PSME4,-1.0662491,0.0037777830738331677,Downregulated
LIM2,1.8693645,0.0038260092459498065,Upregulated
EPHA4,-3.1506133,0.004301338778164484,Downregulated
BAZ2B,-1.6115131,0.0045214275302323395,Downregulated
PWWP3A,-1.0001293,0.004888704578020488,Downregulated
MYBL1,-1.1258243,0.00493447436389988,Downregulated
P2RY10,-1.2958682,0.00493447436389988,Downregulated
TCP11L2,-1.9771175,0.005008274015654899,Downregulated
PCMTD2,-1.9833734,0.006108871896495853,Downregulated
PRKY,-1.1972789,0.00621690145461232,Downregulated
LMNA,1.0330054,0.006255665244381766,Upregulated
PLXND1,-2.6795206,0.006350868410380423,Downregulated
CTSF,-2.921884,0.006771456425572559,Downregulated
FGR,-3.0434198,0.007870439651052663,Downregulated
SMAD3,-2.4252183,0.008129850897031903,Downregulated
TSPOAP1-AS1,-1.0198665,0.00888353791480196,Downregulated
CPNE7,-3.0459971,0.00906290860356721,Downregulated
