Gene,LogFC,Adjusted_PValue,Regulation
KLRC1,1.5277382,4.792299419626369e-25,Upregulated
IFIT1,3.602883,4.9279025570236085e-25,Upregulated
CCR7,1.3196973,6.255710729613611e-25,Upregulated
HSPB1,1.4986749,3.496847033104954e-24,Upregulated
TNRC6B,-1.2458273,5.714094864442357e-24,Downregulated
TNFSF14,1.8580352,3.1079607716569456e-23,Upregulated
AKNA,-1.7310158,3.247540153745669e-23,Downregulated
TC2N,-2.0081387,6.26582682311117e-22,Downregulated
STAT5A,2.135285,2.770958750780933e-21,Upregulated
ZBTB16,1.650671,5.0111347457633036e-21,Upregulated
FAM102A,-1.6122358,3.0136963472216454e-20,Downregulated
H1FX,-1.0763111,3.2999753320046096e-20,Downregulated
CDKN1B,-1.4678571,5.129276298589664e-19,Downregulated
SMAD7,-1.3856885,6.264888660372959e-19,Downregulated
LMNA,1.9334213,9.362473786907573e-19,Upregulated
NXPH4,-3.2182927,1.1832100258568147e-18,Downregulated
CRTAM,2.7810977,1.4048659824639674e-18,Upregulated
TBCD,-1.9850028,3.995108846970124e-18,Downregulated
GZMK,-1.3758287,1.2540213140840186e-17,Downregulated
XCL1,4.5696535,4.88993710125173e-17,Upregulated
TCF7,-1.7553384,7.931248309829357e-17,Downregulated
SETBP1,3.5273457,1.1363347219422864e-16,Upregulated
NECTIN3,2.4554317,1.651446138708767e-16,Upregulated
CCR1,2.5725741,1.6918655581206882e-16,Upregulated
SAMD3,-1.408198,1.7355331313461757e-16,Downregulated
TRDC,1.2624242,1.9046595332866498e-16,Upregulated
TRG-AS1,-1.967596,1.9749713671069334e-16,Downregulated
SUN2,-1.3683723,6.374892316535472e-16,Downregulated
TNFSF10,1.4716816,7.221943164132646e-16,Upregulated
CD40LG,3.4075718,1.2893897538898973e-15,Upregulated
PIM3,1.2650349,1.508912554731189e-15,Upregulated
AOAH,-2.3239963,1.8399167449513753e-15,Downregulated
SELL,1.516368,4.047373299275124e-15,Upregulated
GALR2,5.077767,5.174299259199849e-15,Upregulated
CAMK4,-2.0517201,5.503481928971643e-15,Downregulated
MHENCR,-3.0051427,1.0175156519318541e-14,Downregulated
IFITM3,1.8752255,1.300675606244097e-14,Upregulated
SYNE1,-1.304264,1.9788040415572903e-14,Downregulated
TNFRSF4,1.7190256,3.788624639316541e-14,Upregulated
TBX21,1.0859058,1.4633103611205524e-13,Upregulated
BCL9L,-2.307937,2.3516321688940465e-13,Downregulated
LIME1,-3.434696,6.937001231352768e-13,Downregulated
PDCD1,1.8487612,2.1591475784228915e-12,Upregulated
TBC1D10C,-1.2693841,3.0554248816530867e-12,Downregulated
IL16,-1.6645433,4.461109797378491e-12,Downregulated
TBC1D2B,-1.5854757,1.9706026621023493e-11,Downregulated
P2RY10,-1.9141531,2.924470733365245e-11,Downregulated
CPNE7,-2.5298262,4.336774708757996e-11,Downregulated
ITM2C,-1.7252805,9.172776851825094e-11,Downregulated
DNAJB1,-1.2231529,1.0192188272171125e-10,Downregulated
CD84,-1.532777,1.0809833494023789e-10,Downregulated
ABLIM1,-1.7015262,2.1794747364804944e-10,Downregulated
SNHG14,-1.6700171,3.3520064728405254e-10,Downregulated
RGS2,-2.2484298,3.6981876168273117e-10,Downregulated
MXRA7,-1.2597572,7.769174018962408e-10,Downregulated
KLHL24,-1.9623723,8.012312063786488e-10,Downregulated
AC018926.2,2.2854977,2.4507215677052183e-09,Upregulated
IFIT2,1.688859,2.842001772006304e-09,Upregulated
CTSH,1.3948387,3.2508988817680646e-09,Upregulated
RABGAP1L,-1.1482021,3.2508988817680646e-09,Downregulated
GLIPR1,-1.1657714,3.4113282009806428e-09,Downregulated
HSPA1A,1.039446,7.132419095127456e-09,Upregulated
GADD45A,1.8862766,8.075734692670361e-09,Upregulated
FAM118A,-1.6142219,1.4828329699293928e-08,Downregulated
TAGAP,1.1015987,1.744326974205216e-08,Upregulated
LAIR2,1.9105476,1.8739762785264183e-08,Upregulated
ST3GAL5,-1.516256,2.0649582841489304e-08,Downregulated
DUSP1,-1.0342015,3.354503988596477e-08,Downregulated
F2R,-1.2707059,4.7178995022381155e-08,Downregulated
TNF,2.251945,5.8796060911501464e-08,Upregulated
IQCG,2.5591488,6.632649193244959e-08,Upregulated
SELPLG,-1.3473102,7.699896070844281e-08,Downregulated
ANKRD13D,-1.3139976,8.185191911062305e-08,Downregulated
PTPN4,-1.3062121,9.38223520543434e-08,Downregulated
LY9,-2.941607,1.0608923607477889e-07,Downregulated
MXI1,-2.171524,1.1276706654687558e-07,Downregulated
S1PR1,-1.705845,1.4874808882193394e-07,Downregulated
PLEKHF1,-1.99129,1.7920581541771532e-07,Downregulated
LIMA1,1.4478418,1.8859942475847307e-07,Upregulated
GLCCI1,-2.0815024,1.9255191247557887e-07,Downregulated
LINC00861,-2.7044497,3.197111836033148e-07,Downregulated
AC008105.3,-1.514897,4.64122259804933e-07,Downregulated
PLXND1,-2.5681643,4.787854622418801e-07,Downregulated
SYNM,-2.4825478,5.262991586358756e-07,Downregulated
ZNF683,-8.734813,7.999658800989608e-07,Downregulated
CHST12,-1.0219468,1.485524047650472e-06,Downregulated
PRRC2B,-1.2648661,1.7521350703365085e-06,Downregulated
FCMR,-1.4439899,2.6182449382098663e-06,Downregulated
FNDC9,27.007105,2.955575082429943e-06,Upregulated
ABTB1,-1.8698877,3.1068347970279643e-06,Downregulated
AQP3,1.0048932,3.409394305074682e-06,Upregulated
RBL2,-1.2430581,5.017016781481394e-06,Downregulated
GGA2,-1.1825835,6.497077340270201e-06,Downregulated
ILF3-DT,-1.27339,1.0856016215331943e-05,Downregulated
DBP,-3.3977003,1.1194726852117665e-05,Downregulated
AC245407.2,-2.4293635,1.6224798807773016e-05,Downregulated
WAKMAR2,-1.5497409,1.6958963575272235e-05,Downregulated
AL121839.2,-2.3532379,1.7153411917566388e-05,Downregulated
RALGDS,-1.3937718,3.476359002195956e-05,Downregulated
NMB,2.371029,5.2640185249555805e-05,Upregulated
BIN1,-1.2455177,0.00011694619289937631,Downregulated
CKAP2,-1.73413,0.00012241006299863567,Downregulated
ATXN7L1,-2.553267,0.00012273270240283725,Downregulated
STMN3,-2.2864397,0.0001384927929129181,Downregulated
SLA2,-1.2158688,0.00016481036239948826,Downregulated
GAB3,-1.2546432,0.00022153866798598927,Downregulated
FCRL3,2.4051101,0.00023626601863273997,Upregulated
BTN3A1,-1.2208805,0.0002766553676122804,Downregulated
MSC,1.3766556,0.0002816301595322223,Upregulated
SLC2A4RG,-1.5518404,0.0002824961501377958,Downregulated
ZC3H6,-1.7464005,0.0002872387867509251,Downregulated
SUSD3,-1.7576388,0.0002953819239904205,Downregulated
FBXO32,-1.9714309,0.0003054077161668852,Downregulated
WDR54,-1.3115476,0.00031971188671677827,Downregulated
HIVEP1,1.3185933,0.0004186336933243299,Upregulated
FAM111A,-1.3444431,0.00045311198346643683,Downregulated
NMT2,-1.4306917,0.0004732094381054448,Downregulated
EPHA4,-3.0361228,0.0006017869868753432,Downregulated
BNIP3L,-1.2010374,0.000642698630226985,Downregulated
YPEL1,-3.0404224,0.0008170960629180601,Downregulated
ZNF83,-1.6343195,0.0008335492133357441,Downregulated
AC253572.2,1.4083813,0.0009067085792855995,Upregulated
CCNH,-1.09286,0.0009206110413070368,Downregulated
ZNF276,-1.1763861,0.000964113048293877,Downregulated
ZFYVE28,-1.2423502,0.0009648313534102767,Downregulated
LDLRAD4,-1.4880091,0.0010072855023809681,Downregulated
CCDC18-AS1,-1.2898957,0.0010942926863113194,Downregulated
RNF125,-1.0070616,0.001183974793689226,Downregulated
TSEN54,-1.2295977,0.0013606735839174124,Downregulated
TRANK1,-1.0195379,0.0014466277036307995,Downregulated
PALLD,1.7475492,0.0016619336425530485,Upregulated
DAAM1,-1.490332,0.0017482269245074663,Downregulated
KIAA0319L,-1.408124,0.0021468319879123917,Downregulated
FAM53B,-1.5308025,0.002174291927277792,Downregulated
PRKY,-1.6961976,0.002174291927277792,Downregulated
ATP8A1,-1.107891,0.0024698674855084747,Downregulated
EZH2,1.0811113,0.0025014716759981857,Upregulated
FAM214A,-1.6121591,0.0026259638980615776,Downregulated
SCRN2,-2.1213999,0.002706363545654862,Downregulated
MLLT3,-1.0598338,0.0027796338329154737,Downregulated
DKK3,-2.4384043,0.003104110326619772,Downregulated
S1PR5,-3.1643627,0.00394051465492579,Downregulated
ITGA5,-1.5653559,0.0047195495648520895,Downregulated
TMEM71,-1.6254094,0.0047195495648520895,Downregulated
HERC1,-1.1546024,0.004918816053210511,Downregulated
TFDP2,-1.2908932,0.005492287739689511,Downregulated
DPEP2,-3.9387853,0.005833972001246371,Downregulated
S100B,-2.3277678,0.006596956862704025,Downregulated
CD160,2.7774913,0.007585572346353384,Upregulated
OSBPL7,-2.3546903,0.007585572346353384,Downregulated
