names,scores,logfoldchanges,pvals,pvals_adj,Cell type,Regulation
PPP3CA,5.6731305,2.1517603,1.4021146888065096e-08,4.170282483595908e-08,CD4+ T Cells,upregulated
TOX2,5.6570687,3.8647947,1.539802193287501e-08,4.572402382904544e-08,CD4+ T Cells,upregulated
DLGAP1-AS1,5.644591,1.9034837,1.655744028372263e-08,4.9069962360559343e-08,CD4+ T Cells,upregulated
MICAL1,5.6307154,2.1322997,1.79463552321731e-08,5.30910333585772e-08,CD4+ T Cells,upregulated
HIPK2,5.593237,1.1627808,2.228745625984327e-08,6.57569427598623e-08,CD4+ T Cells,upregulated
STARD10,5.5559196,1.1867715,2.7615417780904552e-08,8.11435969869969e-08,CD4+ T Cells,upregulated
DGUOK-AS1,5.534794,4.6857104,3.1159449978846284e-08,9.116840486556635e-08,CD4+ T Cells,upregulated
ERO1B,5.531886,1.6104267,3.168057689050626e-08,9.267675571171095e-08,CD4+ T Cells,upregulated
SUN2,5.507913,1.3014263,3.6311236713530016e-08,1.0599804440099663e-07,CD4+ T Cells,upregulated
TNFRSF12A,5.4811993,1.9433857,4.2245238745785645e-08,1.2305962887776242e-07,CD4+ T Cells,upregulated
GFI1,5.3633943,1.3246323,8.167256076093903e-08,2.3476779720209436e-07,CD4+ T Cells,upregulated
PXN,5.3353033,1.4078869,9.538488794044877e-08,2.7309208654279805e-07,CD4+ T Cells,upregulated
SMAD3,5.3336115,1.4654658,9.627840156399058e-08,2.7555485058215856e-07,CD4+ T Cells,upregulated
ACVR2A,5.309763,2.511144,1.0976787950293261e-07,3.1345733437057445e-07,CD4+ T Cells,upregulated
FOS,5.297449,1.0989573,1.1743161640849588e-07,3.348218345771201e-07,CD4+ T Cells,upregulated
NCOA2,5.2738495,1.2642585,1.3359164648893713e-07,3.802418344212656e-07,CD4+ T Cells,upregulated
QPCT,5.2238965,3.2213995,1.7519692065595693e-07,4.962712361917711e-07,CD4+ T Cells,upregulated
CSGALNACT2,5.1711597,1.00708,2.3264557345369927e-07,6.548527401198e-07,CD4+ T Cells,upregulated
EGR1,5.1652164,2.2785785,2.4016068265545865e-07,6.75431498141721e-07,CD4+ T Cells,upregulated
TRANK1,5.1413045,1.7904832,2.728375904363075e-07,7.653800225691632e-07,CD4+ T Cells,upregulated
JAZF1,5.0877247,1.5213586,3.623845318259795e-07,1.0099010790034079e-06,CD4+ T Cells,upregulated
ARHGEF3,5.042545,1.195437,4.5938149319480163e-07,1.2742019042204688e-06,CD4+ T Cells,upregulated
LRMP,5.0399823,1.6468256,4.655745986528036e-07,1.290946870878842e-06,CD4+ T Cells,upregulated
RASSF2,4.9831586,1.229437,6.255469188920529e-07,1.7281439020577814e-06,CD4+ T Cells,upregulated
HIST1H1E,4.940128,1.3155456,7.807128610618536e-07,2.1485519359926564e-06,CD4+ T Cells,upregulated
DDX60L,4.820764,1.4344655,1.4300925169814376e-06,3.881246501131902e-06,CD4+ T Cells,upregulated
ABCB1,4.7975645,2.1779997,1.6060634175297532e-06,4.344752287860221e-06,CD4+ T Cells,upregulated
ADAM8,4.772397,1.4513685,1.8204604696202903e-06,4.915897254426967e-06,CD4+ T Cells,upregulated
PYCARD,4.7033777,1.4891118,2.5589258490523164e-06,6.868520818986878e-06,CD4+ T Cells,upregulated
IER5L,4.634558,2.561281,3.577008450587374e-06,9.526975156605476e-06,CD4+ T Cells,upregulated
YES1,4.622444,1.6702278,3.7924467538013313e-06,1.0091020429221659e-05,CD4+ T Cells,upregulated
SNRK,4.4417143,1.139548,8.924502097761905e-06,2.3252637654118262e-05,CD4+ T Cells,upregulated
YPEL2,4.335286,1.3382349,1.4557072976429766e-05,3.753786306116e-05,CD4+ T Cells,upregulated
SMAGP,4.3087754,2.0394928,1.6416110993883518e-05,4.2193538623850126e-05,CD4+ T Cells,upregulated
C21orf91,4.300358,1.0963742,1.7052260870548716e-05,4.378097159078779e-05,CD4+ T Cells,upregulated
GZMA,4.2607994,2.0596354,2.0369712822590384e-05,5.207202673476228e-05,CD4+ T Cells,upregulated
ABTB1,4.2483306,1.5664171,2.1536928374165495e-05,5.4996322502096175e-05,CD4+ T Cells,upregulated
DPYSL4,4.2287245,2.7632709,2.3502010378191256e-05,5.9884860650870387e-05,CD4+ T Cells,upregulated
XRCC1,4.142591,1.2885334,3.434043530863134e-05,8.681971849852262e-05,CD4+ T Cells,upregulated
OSBPL3,4.0490403,1.5193311,5.142806362025929e-05,0.0001288389468396043,CD4+ T Cells,upregulated
CDKN1A,4.0345345,1.3156285,5.4710715173903974e-05,0.0001368761114721407,CD4+ T Cells,upregulated
AC044849.1,4.034028,1.439489,5.482881669901607e-05,0.00013715083069908162,CD4+ T Cells,upregulated
USP11,4.0328393,1.0048862,5.510698661285398e-05,0.0001378049656157215,CD4+ T Cells,upregulated
DDAH2,4.0023804,1.951487,6.270835444662581e-05,0.0001561759122716643,CD4+ T Cells,upregulated
HSD17B11,3.9680889,1.3291041,7.24512897901875e-05,0.00017984493834589173,CD4+ T Cells,upregulated
SAMD3,3.9616697,2.610458,7.44274458102773e-05,0.00018463946465114845,CD4+ T Cells,upregulated
TMEM154,3.9285579,1.6324105,8.545682246901972e-05,0.00021101978097210378,CD4+ T Cells,upregulated
PARP8,3.86197,1.3936658,0.00011247638456720548,0.00027604956538852435,CD4+ T Cells,upregulated
HDAC5,3.7808397,1.4078029,0.00015630033406216858,0.00038010862123324734,CD4+ T Cells,upregulated
IRGQ,3.743798,1.628901,0.0001812594622319617,0.0004391279998432392,CD4+ T Cells,upregulated
HBEGF,3.7308412,2.1311114,0.0001908415027102889,0.00046166558372148146,CD4+ T Cells,upregulated
MYO1B,3.7110255,2.1702652,0.00020642125761688378,0.000498406823946621,CD4+ T Cells,upregulated
NLRP3,3.6958888,3.3200717,0.00021911898620583767,0.0005280633452180032,CD4+ T Cells,upregulated
PDE4DIP,3.695158,1.070619,0.0002197501803234214,0.000529507319249369,CD4+ T Cells,upregulated
ST3GAL5,3.688475,1.5199986,0.0002256023103385504,0.0005433710174874174,CD4+ T Cells,upregulated
HIST1H1C,3.6875288,1.281579,0.000226442466088667,0.0005452357399109328,CD4+ T Cells,upregulated
KLF12,3.6574218,1.3354377,0.00025476495934877267,0.0006111180929432337,CD4+ T Cells,upregulated
SYTL2,3.6275969,2.3816414,0.00028607156831543664,0.0006846259804967258,CD4+ T Cells,upregulated
SMAD7,3.603069,1.3226306,0.0003144819325101033,0.0007508789659138866,CD4+ T Cells,upregulated
IZUMO4,3.5940845,1.5166228,0.0003255341084888659,0.0007764831317006166,CD4+ T Cells,upregulated
NEDD9,3.5586529,1.2352501,0.0003727616984028216,0.0008850481272774532,CD4+ T Cells,upregulated
HAVCR2,3.5219083,1.4141632,0.0004284521927379156,0.001013056035359867,CD4+ T Cells,upregulated
PTPRJ,3.5070384,1.0430683,0.00045312388969444696,0.0010697087457354846,CD4+ T Cells,upregulated
AL135818.1,3.4713035,1.978951,0.0005179382757570436,0.0012166399525844077,CD4+ T Cells,upregulated
SSBP2,3.4395106,1.8473991,0.0005827670735431606,0.0013613814232495052,CD4+ T Cells,upregulated
ZNF652,3.4255774,1.338604,0.0006134939957290862,0.001430736173652785,CD4+ T Cells,upregulated
KLHL24,3.4073355,1.4292736,0.000656004254954032,0.0015270752201822675,CD4+ T Cells,upregulated
TPMT,3.3600419,1.1931089,0.0007793066579373891,0.0018049571711919615,CD4+ T Cells,upregulated
PDE7A,3.3499687,1.0265164,0.0008082066819565816,0.0018695361448476697,CD4+ T Cells,upregulated
TMEM156,3.320071,1.1640166,0.000899945600643617,0.002072757715577088,CD4+ T Cells,upregulated
AC114760.2,3.316229,1.352664,0.0009124098002195728,0.0020997106688326016,CD4+ T Cells,upregulated
HGSNAT,3.3008344,1.1934115,0.0009639772000632779,0.0022146833783615485,CD4+ T Cells,upregulated
GOLGA7B,3.2872653,2.8258066,0.001011654811747427,0.0023226066391596836,CD4+ T Cells,upregulated
PIK3CG,3.1762037,1.8786716,0.0014921609048552235,0.0033811818146876993,CD4+ T Cells,upregulated
AC093673.1,3.1569977,1.4169601,0.001594026378390791,0.003602625969584326,CD4+ T Cells,upregulated
AGAP2,3.1528738,1.2282313,0.0016167168195326646,0.003651911766782089,CD4+ T Cells,upregulated
CHRM3-AS2,3.1435983,1.5859158,0.001668844047858723,0.003765544278815623,CD4+ T Cells,upregulated
ICOSLG,3.0287766,2.526769,0.0024554606963775503,0.0054643996145869395,CD4+ T Cells,upregulated
AL645568.1,3.0237584,2.436787,0.0024965572500113852,0.00555286714773884,CD4+ T Cells,upregulated
TAGLN3,2.9867713,4.4875274,0.0028194059552499053,0.006250773063677126,CD4+ T Cells,upregulated
IRGM,2.9778748,3.6132305,0.0029025462901812378,0.006423903640354273,CD4+ T Cells,upregulated
MIR22HG,2.9757462,1.546798,0.002922767701354269,0.00646519655929582,CD4+ T Cells,upregulated
NPTX1,2.9713614,3.2046728,0.002964826088472024,0.006555599548744733,CD4+ T Cells,upregulated
RALGPS2,2.8940094,1.3293147,0.003803569469956267,0.008329973291572876,CD4+ T Cells,upregulated
KIF21B,2.853635,1.1285696,0.0043222144337914485,0.009419670544492513,CD4+ T Cells,upregulated
KLF2,2.8488867,1.2772597,0.004387250983150216,0.009555112538964194,CD4+ T Cells,upregulated
NLRC3,2.8426826,1.451651,0.004473558376857396,0.009736672134521026,CD4+ T Cells,upregulated
ZBTB20,2.8375826,1.1692535,0.004545660036346121,0.009885794321548633,CD4+ T Cells,upregulated
NOCT,-2.8495204,-1.8528256,0.004378520146657663,0.009537353485942805,CD4+ T Cells,downregulated
PARD6B,-2.86265,-1.0340751,0.004201144434694759,0.009165478300336045,CD4+ T Cells,downregulated
MIF-AS1,-2.8692632,-1.1854365,0.004114292438533783,0.008984293418200603,CD4+ T Cells,downregulated
