Gene,LogFC,-Log10P
CCDC18-AS1,-1.2898957,2.9608665033688313
RNF125,-1.0070616,2.926657543456178
TSEN54,-1.2295977,2.8662460465129134
TRANK1,-1.0195379,2.8396432222067034
PALLD,1.7475492,2.779386320653214
DAAM1,-1.490332,2.7574021954630776
KIAA0319L,-1.408124,2.668201942325592
FAM53B,-1.5308025,2.6626821465908566
PRKY,-1.6961976,2.6626821465908566
ATP8A1,-1.107891,2.607326347087003
EZH2,1.0811113,2.6018044102410296
FAM214A,-1.6121591,2.58071124891692
SCRN2,-2.1213999,2.567613865067682
MLLT3,-1.0598338,2.5560124108510287
DKK3,-2.4384043,2.5080628513988112
S1PR5,-3.1643627,2.404447052997338
ITGA5,-1.5653559,2.3260994485765014
TMEM71,-1.6254094,2.3260994485765014
HERC1,-1.1546024,2.308139418255747
TFDP2,-1.2908932,2.260246718251395
DPEP2,-3.9387853,2.2340356595018043
S100B,-2.3277678,2.180656355748387
CD160,2.7774913,2.120011645268108
OSBPL7,-2.3546903,2.120011645268108
