Gene,LogFC,Adjusted_PValue,Regulation
HNRNPM,1.4685336,1.3586008802062605e-18,Upregulated
SNX9,2.5050287,1.5393953528493715e-18,Upregulated
CYP51A1,3.518539,2.653076657476407e-18,Upregulated
POMP,1.5160955,3.57990083531713e-18,Upregulated
SELENOK,1.6121703,3.772681970667773e-18,Upregulated
FYB1,-1.5427066,4.537223771190972e-18,Downregulated
SPCS2,1.4529467,5.339747165460529e-18,Upregulated
CD63,1.7497889,5.534821855712002e-18,Upregulated
MYDGF,2.0811622,6.597677753377656e-18,Upregulated
CYTIP,1.2881591,4.194558973840151e-17,Upregulated
SQLE,3.4152644,8.071862447941464e-17,Upregulated
PARK7,1.25668,8.21823169884362e-17,Upregulated
EIF4A1,1.1724582,1.4610475265595418e-16,Upregulated
ARPC5L,1.5859228,1.5517424525758965e-16,Upregulated
BCL2A1,3.1632524,3.017705016199882e-16,Upregulated
COX6C,1.2305552,3.3896642821200856e-16,Upregulated
BATF,1.7617425,3.811302498630809e-16,Upregulated
EIF5A,1.427902,3.8727843090507475e-16,Upregulated
PGK1,1.3603923,4.1957746736692347e-16,Upregulated
DNAJA1,1.6933911,4.507064688074751e-16,Upregulated
TUBB4B,1.8714334,5.906240961143093e-16,Upregulated
NOP10,1.602523,6.218273663875586e-16,Upregulated
SF1,-1.1477233,8.37606623079071e-16,Downregulated
GNG5,1.4156996,8.686385466862302e-16,Upregulated
SURF4,2.1120088,8.889248720697738e-16,Upregulated
RBM3,1.5091249,9.270699691219957e-16,Upregulated
PRELID1,1.4321985,1.0230746863822224e-15,Upregulated
GSTP1,1.5439589,1.103119849370092e-15,Upregulated
HSPD1,1.4851167,2.08217260261619e-15,Upregulated
VAMP2,-1.4013861,2.390909495137704e-15,Downregulated
DDX17,-1.3762087,2.5731686885373653e-15,Downregulated
SNRPG,1.4235369,3.287390854947982e-15,Upregulated
HUWE1,2.2268476,3.780195002303378e-15,Upregulated
DDX39A,2.2378366,5.5924420369199094e-15,Upregulated
STIP1,2.2352502,1.2907767563187391e-14,Upregulated
PRMT2,-1.6788075,1.5337348530895853e-14,Downregulated
TMED10,1.8254058,1.8748215371697288e-14,Upregulated
DDX21,1.5905504,2.0431988032443397e-14,Upregulated
JUNB,-1.3016237,2.3443587523441283e-14,Downregulated
TPI1,1.1667249,4.535761865317103e-14,Upregulated
TNFRSF9,3.9502573,4.828789035078931e-14,Upregulated
LEPROTL1,-1.3763092,5.2605303965447756e-14,Downregulated
TOP1,1.510354,7.674380412996473e-14,Upregulated
OSTC,1.7843729,2.2037431635781176e-13,Upregulated
HSPE1,1.2713422,2.9853495243232047e-13,Upregulated
YWHAQ,1.6135734,3.124766711915765e-13,Upregulated
NCL,1.0003867,3.25738676750859e-13,Upregulated
S100A11,1.160624,3.60949351863071e-13,Upregulated
