Gene,LogFC,Adjusted_PValue,Regulation
SPOCK2,-1.4989547,4.1020179585091906e-84,Downregulated
UBE2D3,1.2995658,4.422491899470221e-84,Upregulated
CD69,1.5313148,1.7063909832820133e-83,Upregulated
VAMP2,-1.4137646,3.567024362574347e-83,Downregulated
ROMO1,1.673901,4.075460545648896e-83,Upregulated
GSTP1,1.3482691,5.087162077058314e-83,Upregulated
APRT,1.2770437,8.879930591871253e-83,Upregulated
PA2G4,1.285689,6.142325435265359e-82,Upregulated
SURF4,1.830683,1.3368182107106231e-81,Upregulated
PLP2,1.3934321,3.1907021425221353e-81,Upregulated
HNRNPA3,1.1543375,4.0065209038419536e-81,Upregulated
ARPC1B,1.2420069,4.442554380286895e-81,Upregulated
APOBEC3C,1.5446151,1.607722246175511e-80,Upregulated
ATP5MF,1.3931282,2.588122893499566e-80,Upregulated
MYL12A,1.1197778,2.6066698506282086e-80,Upregulated
EIF6,1.6584357,9.883722327738851e-80,Upregulated
ARF1,1.3228872,1.122532552368456e-79,Upregulated
ARF6,1.4634722,2.0663330791820882e-79,Upregulated
PSMD14,1.945148,2.3778431027488093e-79,Upregulated
TMBIM6,1.1715964,3.633524068328954e-79,Upregulated
CRELD2,2.4861572,7.278272214550368e-79,Upregulated
C1QBP,1.6357541,7.925411288482371e-79,Upregulated
MRPL52,1.8237318,8.086272777815839e-79,Upregulated
NUDC,1.5053676,9.756141562241773e-79,Upregulated
MAP3K8,2.665808,1.0828890624427363e-78,Upregulated
PSMD7,1.4879776,1.4739595353690068e-78,Upregulated
GLS,1.7428787,2.2531858810680446e-78,Upregulated
SRI,1.4587897,2.3255019908673477e-78,Upregulated
ATP5PF,1.2735058,2.895150809670836e-78,Upregulated
KRTCAP2,1.2119534,4.755008407442035e-78,Upregulated
MICOS13,1.5492748,7.387005784399125e-78,Upregulated
NKG7,1.2299235,1.603794513251355e-77,Upregulated
ATF4,1.8148212,2.580648088520556e-77,Upregulated
NFKB1,1.9712064,3.2387897123783337e-77,Upregulated
MRPL51,1.4894189,3.5908297972435585e-77,Upregulated
DDX39A,2.1471252,5.267784401052785e-77,Upregulated
CCT7,1.5971748,6.6595613852429855e-77,Upregulated
IVNS1ABP,2.2113864,1.1126095229767243e-76,Upregulated
TRAM1,1.5070972,1.1419688636025723e-76,Upregulated
UBL5,1.1467718,1.4732627120274905e-76,Upregulated
LAMTOR5,1.4463514,3.225301906294046e-76,Upregulated
PDCD5,1.5914319,3.2420619088568495e-76,Upregulated
COX5A,1.408207,5.780803294233655e-76,Upregulated
NDUFA4,1.117248,1.0575943249637764e-75,Upregulated
HSPA9,1.6051503,2.3623555945934093e-75,Upregulated
RAC2,1.3053355,2.468445954822018e-75,Upregulated
KLRD1,1.5260496,4.087510472685773e-75,Upregulated
IL7R,-1.7414268,4.929768144341289e-75,Downregulated
UBE2L6,1.6436201,6.296108847731068e-75,Upregulated
