Gene,LogFC,Adjusted_PValue,Regulation
SEC61B,1.6973546,1.0651140388065202e-32,Upregulated
HNRNPA3,1.3933297,1.1885316309501885e-32,Upregulated
EIF4A1,1.4350212,1.9556257054877202e-32,Upregulated
SUB1,1.3704499,2.8441544422041403e-32,Upregulated
UBB,1.2735988,9.019725034136262e-32,Upregulated
CD63,2.0899456,1.1760524875224258e-31,Upregulated
CTLA4,2.3919537,3.812702468273605e-31,Upregulated
POMP,1.7768711,4.309729936742561e-31,Upregulated
MT2A,1.7719555,8.375193769052754e-31,Upregulated
SSR4,1.4780409,9.023810325713646e-31,Upregulated
NDUFV2,1.7521145,9.750202886346262e-31,Upregulated
SEC61G,1.9880831,1.648317396921213e-30,Upregulated
PRDX1,1.6933982,1.7011478671237482e-30,Upregulated
PKM,1.7574501,3.067926598348238e-30,Upregulated
SRSF5,-1.1800182,5.606676492116253e-30,Downregulated
SPCS2,1.6484873,7.787750644428403e-30,Upregulated
RBM3,1.8034321,6.006843302335441e-29,Upregulated
CHCHD2,1.1574408,2.278784559238436e-28,Upregulated
CD7,1.6357719,2.4167430559988438e-28,Upregulated
YWHAQ,2.004546,1.5207009153661691e-27,Upregulated
GUK1,1.4992086,5.897866271094736e-27,Upregulated
DNAJA1,1.8954957,1.646863652886717e-26,Upregulated
SELENOK,1.7240074,3.683706151819605e-26,Upregulated
PNRC1,-1.2800189,5.196879958452723e-26,Downregulated
BCL2A1,3.2897668,7.682269939136608e-26,Upregulated
NOP10,1.8462309,1.0831148707516987e-25,Upregulated
RAC2,1.5433997,3.6193887228247124e-25,Upregulated
HSPD1,1.6926385,5.550727665633028e-25,Upregulated
SEC11C,1.9039774,7.442913236908231e-25,Upregulated
TNFRSF9,4.2965846,1.0692328442416238e-24,Upregulated
PHB,1.8499814,2.3692948065655393e-24,Upregulated
NME2,1.206307,5.277807723010931e-24,Upregulated
SYNE2,-1.9608301,6.107963280747096e-24,Downregulated
PSMB3,1.5753815,7.026691918525327e-24,Upregulated
TUBB,1.7015792,7.732234414803454e-24,Upregulated
PSMB6,1.7644871,1.119962375373286e-23,Upregulated
EIF5A,1.5741036,1.1625205878931926e-23,Upregulated
HUWE1,2.4539168,2.848923012873048e-23,Upregulated
PGK1,1.4749104,5.424982189622044e-23,Upregulated
STIP1,2.5300756,6.698951033550962e-23,Upregulated
HIF1A,2.0590675,6.93466548453966e-23,Upregulated
ATP5MD,1.4861561,7.57533264334316e-23,Upregulated
ISG15,1.8426666,8.953126111256086e-23,Upregulated
CD3D,1.0657604,9.290301373977009e-23,Upregulated
CD52,-1.7188901,1.155472959693038e-22,Downregulated
SURF4,2.2795293,1.2094127047380696e-22,Upregulated
PARK7,1.3531404,1.4549208487998812e-22,Upregulated
MYDGF,2.099505,1.51679175431473e-22,Upregulated
SELENOS,2.1443992,1.9370017364112374e-22,Upregulated
NDUFS6,1.6464502,2.371112370802325e-22,Upregulated
GSTP1,1.6503842,4.49023705215488e-22,Upregulated
GNG5,1.5425864,5.29464291245854e-22,Upregulated
COX6C,1.3188453,7.258744923199932e-22,Upregulated
CREM,1.4761848,7.590415334045721e-22,Upregulated
DDX21,1.7533884,8.874722394926568e-22,Upregulated
NOP53,-1.1231517,9.321826156510383e-22,Downregulated
OSTC,1.9772538,1.3916134525699073e-21,Upregulated
BATF,1.9302137,1.6714444437641954e-21,Upregulated
HSPE1,1.4826516,1.71876358739614e-21,Upregulated
CYP51A1,3.4211001,2.1858890242318655e-21,Upregulated
ACTR3,1.4529635,2.305659152474465e-21,Upregulated
RBM8A,1.4550505,2.332091333277928e-21,Upregulated
PSMA1,1.596101,3.1505557876381194e-21,Upregulated
CD96,2.0291727,3.3158109229720044e-21,Upregulated
TPI1,1.3035933,4.666250002641495e-21,Upregulated
ARPC1B,1.3255352,4.81465340582515e-21,Upregulated
STAT1,1.8352876,4.940804381281029e-21,Upregulated
PNISR,-1.033431,8.26424778197159e-21,Downregulated
HSPA8,1.1420258,1.1672822901797647e-20,Upregulated
PSMD7,1.7446718,1.226693496868098e-20,Upregulated
PRELID1,1.4742891,2.3512282300292218e-20,Upregulated
SNX9,2.445821,2.399466655066376e-20,Upregulated
LEPROTL1,-1.6102301,3.106412560364996e-20,Downregulated
SNRPG,1.5226474,3.5410393999963725e-20,Upregulated
PSMA4,1.6753391,4.555028594002146e-20,Upregulated
NDUFA13,1.1108845,4.555028594002146e-20,Upregulated
RAN,1.1400526,4.795104229517884e-20,Upregulated
NME1,2.5230045,1.4331377405813824e-19,Upregulated
FYB1,-1.4705089,1.9777012003634822e-19,Downregulated
VCP,1.8799679,2.5866906717366614e-19,Upregulated
PSMA5,1.6345679,3.2554656455878504e-19,Upregulated
P4HB,1.8852255,3.4168857700008743e-19,Upregulated
BZW1,1.5026405,4.618481091718638e-19,Upregulated
HNRNPM,1.3817829,4.653537594968902e-19,Upregulated
CCT2,1.7926935,5.979477697796529e-19,Upregulated
EIF2S2,1.3642069,6.113659601262944e-19,Upregulated
CYTIP,1.2560228,6.892597084012432e-19,Upregulated
S100A11,1.2895955,7.562893379186202e-19,Upregulated
PSMA6,1.4786434,7.629204655180952e-19,Upregulated
PFDN2,1.6613005,8.284354879876331e-19,Upregulated
NCL,1.0629545,1.0038226628881331e-18,Upregulated
TMED10,1.8587887,1.2387086484370984e-18,Upregulated
TMED9,1.72998,1.2387086484370984e-18,Upregulated
TUBB4B,1.8674976,1.5805602906251033e-18,Upregulated
SFPQ,1.4717681,1.810606382716841e-18,Upregulated
BANF1,1.7066685,2.1416113589708097e-18,Upregulated
COX6A1,1.2434121,3.568777791722303e-18,Upregulated
PSMA2,1.4139702,3.685738467472577e-18,Upregulated
IFI6,1.9250482,9.097304412769222e-18,Upregulated
TUBA1C,2.326225,9.61230413895124e-18,Upregulated
SERBP1,1.1451749,1.3803627589154466e-17,Upregulated
GIMAP7,-1.5332654,1.3803627589154466e-17,Downregulated
LY6E,1.6185893,1.782721254156846e-17,Upregulated
ABCF1,1.6449764,2.3067703495222215e-17,Upregulated
DDX39A,2.2921915,3.564180837439487e-17,Upregulated
PSMB2,1.7671988,4.287862520092627e-17,Upregulated
NOL7,1.4055889,5.640621031113603e-17,Upregulated
PSMA3,1.613859,5.80944195377028e-17,Upregulated
CCND2,1.7667701,6.205174800664627e-17,Upregulated
CD74,1.249407,6.205174800664627e-17,Upregulated
DNAJB11,2.474224,6.608353698105241e-17,Upregulated
SNRPD1,1.5294049,7.582744124518664e-17,Upregulated
IL2RG,1.2704028,8.258551863777728e-17,Upregulated
NFKB1,1.9976467,9.198732013029193e-17,Upregulated
CANX,1.6519372,1.1930626484091113e-16,Upregulated
DBI,1.2509398,1.5672650181563928e-16,Upregulated
PSMD8,1.2521578,1.5750417732800873e-16,Upregulated
FDPS,1.7522157,1.6830400360790716e-16,Upregulated
CDC37,1.4286723,1.7229861913639325e-16,Upregulated
PDCD4,-1.5364681,2.2086776478114426e-16,Downregulated
ATP5MC3,1.3493285,2.2548645783538336e-16,Upregulated
PLP2,1.5367949,2.587173007951041e-16,Upregulated
ATP1B3,1.9112352,2.817168511023663e-16,Upregulated
CCT5,1.6608162,4.2453295357637574e-16,Upregulated
DDX17,-1.2775252,4.378728808245471e-16,Downregulated
NFKBIA,1.2607074,5.304679909549503e-16,Upregulated
PSMD14,1.8890083,5.398250700219835e-16,Upregulated
SRGN,1.100667,5.467348363946145e-16,Upregulated
ARPC5L,1.4477848,6.263566642991944e-16,Upregulated
PIK3IP1,-1.8476713,6.337720247742344e-16,Downregulated
GBP5,1.8524925,6.980822106659717e-16,Upregulated
XBP1,1.8839054,8.749744409528719e-16,Upregulated
GSTO1,1.6481482,1.0197909891406236e-15,Upregulated
PRMT2,-1.5412161,1.3835147116201462e-15,Downregulated
LMAN1,1.6852701,1.7256573548263952e-15,Upregulated
PSMC4,1.7699707,1.8629996473709966e-15,Upregulated
EIF5B,1.3777982,2.1720860109677025e-15,Upregulated
WARS,2.6036866,2.3910403233349985e-15,Upregulated
PSMB1,1.1427382,3.178645501290018e-15,Upregulated
NDUFB8,1.1766449,3.818998326699585e-15,Upregulated
PSMC1,1.5967716,4.2758178445813576e-15,Upregulated
VAMP2,-1.1744853,4.333709557051614e-15,Downregulated
HCST,1.4682364,4.571427037503754e-15,Upregulated
CD69,1.426605,4.759810992908806e-15,Upregulated
CCT3,1.4232534,5.278377577778572e-15,Upregulated
JUNB,-1.1295426,5.455005787883041e-15,Downregulated
ILF2,1.705115,6.676859607449296e-15,Upregulated
PBXIP1,-2.081034,7.152495722213367e-15,Downregulated
BST2,1.5155805,1.0326583787043231e-14,Upregulated
DESI1,2.4422796,1.0876718841665135e-14,Upregulated
TXNDC17,2.0603192,1.1699797626136554e-14,Upregulated
PPA1,1.3952088,1.287545689081537e-14,Upregulated
GPR183,1.5097094,1.431876634078445e-14,Upregulated
UBL5,1.1074405,1.440592856361748e-14,Upregulated
CCT8,1.4838014,1.9259353080478145e-14,Upregulated
CRELD2,2.5421379,1.982172625724178e-14,Upregulated
SQLE,2.961924,3.421434550048634e-14,Upregulated
PSMB9,1.1000161,3.617030732447292e-14,Upregulated
HNRNPC,1.027598,4.48716724781033e-14,Upregulated
MRPL51,1.4797596,6.282128522453164e-14,Upregulated
HSPH1,2.454918,6.947033817765651e-14,Upregulated
VASP,1.7449938,7.120860051497354e-14,Upregulated
TOP1,1.4149687,8.32712490388183e-14,Upregulated
PSMB8,1.2967689,8.946716909146457e-14,Upregulated
ARHGDIA,1.348867,9.243527519374023e-14,Upregulated
PRMT1,1.5057228,9.68669647496731e-14,Upregulated
